investor_id,sip_transactions,avg_gap_days,risk_status
INV000103,2,177.0,At Risk
INV000104,7,77.66666666666667,At Risk
INV000105,2,153.0,At Risk
INV000106,2,188.0,At Risk
INV000107,2,27.0,Normal
INV000108,6,73.0,At Risk
INV000109,1,,Normal
INV000111,1,,Normal
INV000112,1,,Normal
INV000113,1,,Normal
INV000114,3,64.5,At Risk
INV000115,2,202.0,At Risk
INV000116,2,99.0,At Risk
INV000117,4,98.0,At Risk
INV000118,1,,Normal
INV000120,1,,Normal
INV000121,2,401.0,At Risk
INV000123,2,177.0,At Risk
INV000124,2,209.0,At Risk
INV000125,2,233.0,At Risk
INV000126,2,127.0,At Risk
INV000127,2,23.0,Normal
INV000128,4,129.33333333333334,At Risk
INV000129,6,90.4,At Risk
INV000130,8,49.142857142857146,At Risk
INV000131,5,103.75,At Risk
INV000132,3,124.0,At Risk
INV000133,1,,Normal
INV000135,1,,Normal
INV000137,5,83.5,At Risk
INV000138,6,98.4,At Risk
INV000140,2,116.0,At Risk
INV000142,1,,Normal
INV000143,3,105.5,At Risk
INV000144,3,134.0,At Risk
INV000145,3,97.5,At Risk
INV000146,2,208.0,At Risk
INV000147,3,73.0,At Risk
INV000148,1,,Normal
INV000149,1,,Normal
INV000150,4,154.66666666666666,At Risk
INV000151,3,164.0,At Risk
INV000152,1,,Normal
INV000153,6,50.4,At Risk
INV000154,4,157.66666666666666,At Risk
INV000155,1,,Normal
INV000156,3,46.0,At Risk
INV000157,1,,Normal
INV000158,3,207.5,At Risk
INV000160,2,67.0,At Risk
INV000161,2,224.0,At Risk
INV000163,2,193.0,At Risk
INV000165,5,112.0,At Risk
INV000166,3,189.5,At Risk
INV000167,4,106.33333333333333,At Risk
INV000168,2,64.0,At Risk
INV000169,5,113.25,At Risk
INV000170,1,,Normal
INV000171,2,59.0,At Risk
INV000172,1,,Normal
INV000173,4,107.66666666666667,At Risk
INV000174,3,41.0,At Risk
INV000175,5,93.75,At Risk
INV000176,2,2.0,Normal
INV000177,3,168.0,At Risk
INV000179,1,,Normal
INV000180,2,94.0,At Risk
INV000181,7,74.83333333333333,At Risk
INV000182,5,124.25,At Risk
INV000183,3,110.0,At Risk
INV000186,2,121.0,At Risk
INV000187,1,,Normal
INV000188,2,219.0,At Risk
INV000189,3,123.5,At Risk
INV000190,3,226.5,At Risk
INV000191,4,134.33333333333334,At Risk
INV000192,3,95.5,At Risk
INV000193,5,87.0,At Risk
INV000194,5,92.75,At Risk
INV000195,4,119.0,At Risk
INV000196,2,231.0,At Risk
INV000197,3,166.5,At Risk
INV000199,3,108.0,At Risk
INV000200,3,106.5,At Risk
INV000201,1,,Normal
INV000202,1,,Normal
INV000203,4,89.33333333333333,At Risk
INV000204,5,103.5,At Risk
INV000205,2,10.0,Normal
INV000206,2,260.0,At Risk
INV000209,1,,Normal
INV000210,1,,Normal
INV000211,4,160.33333333333334,At Risk
INV000212,1,,Normal
INV000213,2,103.0,At Risk
INV000214,4,100.66666666666667,At Risk
INV000215,4,124.0,At Risk
INV000216,2,231.0,At Risk
INV000217,5,94.0,At Risk
INV000219,2,13.0,Normal
INV000220,1,,Normal
INV000221,3,133.5,At Risk
INV000222,2,210.0,At Risk
INV000223,6,86.0,At Risk
INV000224,3,172.5,At Risk
INV000225,4,16.333333333333332,Normal
INV000226,4,162.33333333333334,At Risk
INV000227,2,176.0,At Risk
INV000228,3,76.5,At Risk
INV000229,2,218.0,At Risk
INV000230,5,96.25,At Risk
INV000231,6,68.2,At Risk
INV000232,1,,Normal
INV000233,1,,Normal
INV000234,2,167.0,At Risk
INV000235,6,75.8,At Risk
INV000237,2,163.0,At Risk
INV000238,4,113.0,At Risk
INV000239,3,43.5,At Risk
INV000240,1,,Normal
INV000241,7,57.5,At Risk
INV000242,7,74.33333333333333,At Risk
INV000243,2,251.0,At Risk
INV000244,5,68.0,At Risk
INV000245,5,71.25,At Risk
INV000247,1,,Normal
INV000248,3,128.0,At Risk
INV000249,1,,Normal
INV000250,1,,Normal
INV000251,4,102.0,At Risk
INV000252,4,110.33333333333333,At Risk
INV000253,1,,Normal
INV000255,2,153.0,At Risk
INV000256,6,70.4,At Risk
INV000257,3,163.5,At Risk
INV000259,3,133.0,At Risk
INV000260,4,96.0,At Risk
INV000261,6,90.6,At Risk
INV000262,4,87.0,At Risk
INV000263,1,,Normal
INV000264,2,158.0,At Risk
INV000265,2,428.0,At Risk
INV000266,3,182.0,At Risk
INV000267,7,54.0,At Risk
INV000268,4,108.66666666666667,At Risk
INV000269,2,290.0,At Risk
INV000270,4,81.33333333333333,At Risk
INV000271,4,156.0,At Risk
INV000274,1,,Normal
INV000275,2,403.0,At Risk
INV000276,2,124.0,At Risk
INV000278,6,93.8,At Risk
INV000279,3,14.5,Normal
INV000280,3,136.5,At Risk
INV000281,3,204.5,At Risk
INV000282,2,342.0,At Risk
INV000283,5,101.0,At Risk
INV000284,3,191.0,At Risk
INV000285,3,94.5,At Risk
INV000286,2,68.0,At Risk
INV000287,2,102.0,At Risk
INV000288,4,86.0,At Risk
INV000289,4,36.333333333333336,At Risk
INV000290,3,159.5,At Risk
INV000291,3,149.5,At Risk
INV000292,4,119.33333333333333,At Risk
INV000293,5,112.5,At Risk
INV000294,2,266.0,At Risk
INV000295,1,,Normal
INV000296,6,82.0,At Risk
INV000297,3,138.0,At Risk
INV000298,1,,Normal
INV000299,5,93.5,At Risk
INV000301,2,182.0,At Risk
INV000302,1,,Normal
INV000303,3,141.0,At Risk
INV000304,3,70.0,At Risk
INV000305,5,68.25,At Risk
INV000307,5,113.5,At Risk
INV000308,2,112.0,At Risk
INV000309,4,131.0,At Risk
INV000310,5,93.0,At Risk
INV000311,1,,Normal
INV000312,3,137.0,At Risk
INV000313,3,97.0,At Risk
INV000314,5,88.5,At Risk
INV000315,1,,Normal
INV000316,1,,Normal
INV000317,1,,Normal
INV000318,2,108.0,At Risk
INV000319,2,24.0,Normal
INV000320,7,70.0,At Risk
INV000321,5,105.75,At Risk
INV000322,1,,Normal
INV000323,3,118.5,At Risk
INV000324,3,250.0,At Risk
INV000325,1,,Normal
INV000326,3,176.5,At Risk
INV000327,2,179.0,At Risk
INV000328,3,162.5,At Risk
INV000330,5,111.25,At Risk
INV000331,3,175.5,At Risk
INV000332,2,322.0,At Risk
INV000333,2,117.0,At Risk
INV000334,5,73.25,At Risk
INV000335,5,99.5,At Risk
INV000337,2,255.0,At Risk
INV000338,3,40.5,At Risk
INV000339,4,166.33333333333334,At Risk
INV000340,1,,Normal
INV000341,3,217.0,At Risk
INV000343,2,232.0,At Risk
INV000344,5,54.5,At Risk
INV000346,5,66.0,At Risk
INV000347,1,,Normal
INV000348,2,225.0,At Risk
INV000349,7,75.33333333333333,At Risk
INV000351,3,167.0,At Risk
INV000352,1,,Normal
INV000353,2,45.0,At Risk
INV000354,4,94.0,At Risk
INV000356,2,93.0,At Risk
INV000357,2,202.0,At Risk
INV000358,1,,Normal
INV000359,1,,Normal
INV000360,4,112.33333333333333,At Risk
INV000361,3,29.5,Normal
INV000362,2,264.0,At Risk
INV000363,1,,Normal
INV000364,1,,Normal
INV000365,1,,Normal
INV000366,4,31.333333333333332,Normal
INV000367,1,,Normal
INV000368,1,,Normal
INV000369,2,94.0,At Risk
INV000370,1,,Normal
INV000371,3,136.5,At Risk
INV000372,3,14.5,Normal
INV000373,1,,Normal
INV000374,4,103.66666666666667,At Risk
INV000375,1,,Normal
INV000376,2,213.0,At Risk
INV000377,3,77.5,At Risk
INV000378,3,70.0,At Risk
INV000379,1,,Normal
INV000380,1,,Normal
INV000381,1,,Normal
INV000382,1,,Normal
INV000383,5,86.0,At Risk
INV000384,2,300.0,At Risk
INV000385,1,,Normal
INV000387,6,46.2,At Risk
INV000388,1,,Normal
INV000389,3,197.5,At Risk
INV000390,5,91.75,At Risk
INV000392,5,102.25,At Risk
INV000393,5,113.0,At Risk
INV000394,6,82.2,At Risk
INV000395,2,122.0,At Risk
INV000396,6,71.6,At Risk
INV000397,2,374.0,At Risk
INV000398,2,72.0,At Risk
INV000399,1,,Normal
INV000400,4,65.66666666666667,At Risk
INV000402,3,113.0,At Risk
INV000403,5,108.0,At Risk
INV000404,1,,Normal
INV000405,1,,Normal
INV000406,1,,Normal
INV000407,2,339.0,At Risk
INV000408,1,,Normal
INV000409,2,155.0,At Risk
INV000410,3,167.5,At Risk
INV000411,2,89.0,At Risk
INV000412,1,,Normal
INV000413,5,116.0,At Risk
INV000414,3,170.5,At Risk
INV000415,3,204.0,At Risk
INV000417,3,76.0,At Risk
INV000418,3,75.5,At Risk
INV000419,2,135.0,At Risk
INV000421,3,240.5,At Risk
INV000424,1,,Normal
INV000425,4,105.66666666666667,At Risk
INV000426,1,,Normal
INV000427,4,105.66666666666667,At Risk
INV000428,3,204.5,At Risk
INV000429,2,22.0,Normal
INV000430,2,73.0,At Risk
INV000431,3,98.0,At Risk
INV000432,4,156.66666666666666,At Risk
INV000436,1,,Normal
INV000437,3,174.0,At Risk
INV000438,2,227.0,At Risk
INV000439,7,63.166666666666664,At Risk
INV000440,4,153.0,At Risk
INV000441,2,118.0,At Risk
INV000442,1,,Normal
INV000443,3,83.0,At Risk
INV000444,5,46.0,At Risk
INV000445,2,233.0,At Risk
INV000446,4,60.333333333333336,At Risk
INV000447,1,,Normal
INV000448,5,100.0,At Risk
INV000449,2,488.0,At Risk
INV000450,1,,Normal
INV000451,2,33.0,Normal
INV000452,3,136.5,At Risk
INV000453,4,57.0,At Risk
INV000454,3,29.0,Normal
INV000455,1,,Normal
INV000456,1,,Normal
INV000457,6,61.2,At Risk
INV000458,7,77.0,At Risk
INV000459,1,,Normal
INV000460,6,94.8,At Risk
INV000463,3,99.0,At Risk
INV000464,1,,Normal
INV000465,1,,Normal
INV000466,3,52.0,At Risk
INV000469,5,82.5,At Risk
INV000470,2,355.0,At Risk
INV000471,2,115.0,At Risk
INV000472,2,314.0,At Risk
INV000473,4,111.33333333333333,At Risk
INV000475,1,,Normal
INV000476,1,,Normal
INV000477,9,47.875,At Risk
INV000478,1,,Normal
INV000480,4,151.0,At Risk
INV000481,6,65.2,At Risk
INV000482,7,70.5,At Risk
INV000483,3,181.0,At Risk
INV000485,2,152.0,At Risk
INV000486,3,86.0,At Risk
INV000487,2,249.0,At Risk
INV000488,3,225.5,At Risk
INV000489,1,,Normal
INV000490,1,,Normal
INV000491,6,94.8,At Risk
INV000492,3,154.5,At Risk
INV000493,2,201.0,At Risk
INV000494,3,54.5,At Risk
INV000495,7,57.666666666666664,At Risk
INV000496,2,268.0,At Risk
INV000497,3,221.0,At Risk
INV000498,3,148.0,At Risk
INV000499,2,116.0,At Risk
INV000500,5,88.0,At Risk
INV000503,3,71.5,At Risk
INV000505,2,36.0,At Risk
INV000507,2,152.0,At Risk
INV000508,2,124.0,At Risk
INV000509,2,257.0,At Risk
INV000510,2,80.0,At Risk
INV000511,4,46.666666666666664,At Risk
INV000512,3,134.5,At Risk
INV000514,4,79.33333333333333,At Risk
INV000515,3,189.5,At Risk
INV000516,1,,Normal
INV000517,2,308.0,At Risk
INV000518,1,,Normal
INV000519,3,185.5,At Risk
INV000520,3,117.0,At Risk
INV000521,6,69.2,At Risk
INV000522,6,62.4,At Risk
INV000523,5,109.0,At Risk
INV000524,3,139.5,At Risk
INV000525,3,172.0,At Risk
INV000526,7,61.333333333333336,At Risk
INV000527,5,122.5,At Risk
INV000529,5,79.5,At Risk
INV000530,2,23.0,Normal
INV000531,4,67.0,At Risk
INV000532,6,96.6,At Risk
INV000533,4,115.0,At Risk
INV000534,1,,Normal
INV000535,2,401.0,At Risk
INV000536,2,112.0,At Risk
INV000537,3,132.5,At Risk
INV000538,2,46.0,At Risk
INV000539,2,71.0,At Risk
INV000540,4,134.0,At Risk
INV000542,1,,Normal
INV000543,1,,Normal
INV000544,4,145.33333333333334,At Risk
INV000545,4,152.0,At Risk
INV000546,3,114.5,At Risk
INV000547,6,96.2,At Risk
INV000548,4,142.66666666666666,At Risk
INV000549,4,21.0,Normal
INV000550,1,,Normal
INV000551,1,,Normal
INV000552,5,109.0,At Risk
INV000553,1,,Normal
INV000554,4,71.0,At Risk
INV000555,1,,Normal
INV000556,3,187.0,At Risk
INV000557,1,,Normal
INV000558,4,143.33333333333334,At Risk
INV000559,2,430.0,At Risk
INV000560,2,8.0,Normal
INV000562,1,,Normal
INV000563,5,80.0,At Risk
INV000564,2,270.0,At Risk
INV000565,1,,Normal
INV000566,5,108.75,At Risk
INV000567,6,61.2,At Risk
INV000568,3,80.5,At Risk
INV000569,7,68.16666666666667,At Risk
INV000570,3,59.5,At Risk
INV000572,2,127.0,At Risk
INV000573,5,50.0,At Risk
INV000574,1,,Normal
INV000575,2,57.0,At Risk
INV000576,4,140.66666666666666,At Risk
INV000577,6,86.8,At Risk
INV000578,5,93.0,At Risk
INV000580,4,82.0,At Risk
INV000581,5,106.25,At Risk
INV000582,1,,Normal
INV000583,6,58.8,At Risk
INV000584,3,101.5,At Risk
INV000585,4,163.0,At Risk
INV000586,5,113.5,At Risk
INV000587,7,23.5,Normal
INV000588,1,,Normal
INV000589,2,321.0,At Risk
INV000590,1,,Normal
INV000591,1,,Normal
INV000592,1,,Normal
INV000593,5,109.5,At Risk
INV000595,5,103.25,At Risk
INV000596,3,128.0,At Risk
INV000597,2,57.0,At Risk
INV000598,2,450.0,At Risk
INV000599,3,13.5,Normal
INV000600,2,67.0,At Risk
INV000601,5,46.75,At Risk
INV000602,5,62.25,At Risk
INV000604,6,58.6,At Risk
INV000605,1,,Normal
INV000606,8,60.142857142857146,At Risk
INV000607,3,194.0,At Risk
INV000608,1,,Normal
INV000609,6,44.6,At Risk
INV000610,1,,Normal
INV000611,1,,Normal
INV000612,1,,Normal
INV000613,2,238.0,At Risk
INV000614,5,39.0,At Risk
INV000615,2,179.0,At Risk
INV000616,4,147.66666666666666,At Risk
INV000617,2,128.0,At Risk
INV000619,4,69.33333333333333,At Risk
INV000621,8,46.42857142857143,At Risk
INV000623,6,85.2,At Risk
INV000624,2,15.0,Normal
INV000625,6,62.0,At Risk
INV000626,3,172.0,At Risk
INV000627,2,473.0,At Risk
INV000629,2,49.0,At Risk
INV000630,2,214.0,At Risk
INV000631,3,165.5,At Risk
INV000632,3,210.5,At Risk
INV000633,1,,Normal
INV000634,2,90.0,At Risk
INV000635,2,281.0,At Risk
INV000636,3,111.0,At Risk
INV000637,3,160.5,At Risk
INV000638,4,98.66666666666667,At Risk
INV000639,8,71.28571428571429,At Risk
INV000641,2,29.0,Normal
INV000642,2,445.0,At Risk
INV000643,3,43.0,At Risk
INV000644,2,320.0,At Risk
INV000645,6,38.0,At Risk
INV000646,5,84.75,At Risk
INV000647,3,158.5,At Risk
INV000649,5,111.25,At Risk
INV000650,2,151.0,At Risk
INV000651,2,197.0,At Risk
INV000652,6,80.4,At Risk
INV000654,5,114.25,At Risk
INV000655,2,132.0,At Risk
INV000656,4,110.33333333333333,At Risk
INV000657,2,66.0,At Risk
INV000658,4,64.33333333333333,At Risk
INV000659,1,,Normal
INV000660,1,,Normal
INV000661,3,92.5,At Risk
INV000662,3,107.0,At Risk
INV000664,4,53.666666666666664,At Risk
INV000665,2,155.0,At Risk
INV000666,2,373.0,At Risk
INV000667,6,95.8,At Risk
INV000668,2,80.0,At Risk
INV000669,3,97.5,At Risk
INV000670,2,198.0,At Risk
INV000671,8,59.857142857142854,At Risk
INV000672,1,,Normal
INV000674,2,61.0,At Risk
INV000675,6,65.8,At Risk
INV000676,1,,Normal
INV000677,3,163.5,At Risk
INV000678,4,58.0,At Risk
INV000679,2,231.0,At Risk
INV000680,1,,Normal
INV000682,4,83.66666666666667,At Risk
INV000683,2,451.0,At Risk
INV000684,2,272.0,At Risk
INV000685,1,,Normal
INV000686,1,,Normal
INV000687,2,187.0,At Risk
INV000688,1,,Normal
INV000689,3,160.0,At Risk
INV000690,4,158.66666666666666,At Risk
INV000691,4,62.0,At Risk
INV000693,8,56.57142857142857,At Risk
INV000694,7,82.5,At Risk
INV000695,3,179.0,At Risk
INV000697,1,,Normal
INV000698,3,95.5,At Risk
INV000699,2,170.0,At Risk
INV000701,4,80.0,At Risk
INV000702,1,,Normal
INV000703,4,109.0,At Risk
INV000704,4,29.666666666666668,Normal
INV000705,2,178.0,At Risk
INV000706,4,75.66666666666667,At Risk
INV000707,1,,Normal
INV000708,4,154.0,At Risk
INV000709,5,53.25,At Risk
INV000710,1,,Normal
INV000711,4,102.33333333333333,At Risk
INV000712,1,,Normal
INV000713,1,,Normal
INV000714,3,23.0,Normal
INV000715,2,215.0,At Risk
INV000716,1,,Normal
INV000717,3,47.5,At Risk
INV000718,3,88.0,At Risk
INV000719,5,72.75,At Risk
INV000720,3,137.0,At Risk
INV000721,3,197.5,At Risk
INV000722,6,40.8,At Risk
INV000723,1,,Normal
INV000724,3,68.0,At Risk
INV000725,1,,Normal
INV000726,5,95.75,At Risk
INV000728,4,104.33333333333333,At Risk
INV000729,1,,Normal
INV000730,4,103.0,At Risk
INV000731,2,264.0,At Risk
INV000732,6,76.2,At Risk
INV000733,5,108.0,At Risk
INV000734,3,113.0,At Risk
INV000735,4,91.33333333333333,At Risk
INV000736,5,89.5,At Risk
INV000737,2,228.0,At Risk
INV000738,4,113.0,At Risk
INV000739,4,125.66666666666667,At Risk
INV000740,1,,Normal
INV000741,3,199.5,At Risk
INV000742,2,317.0,At Risk
INV000743,1,,Normal
INV000744,6,50.8,At Risk
INV000745,2,104.0,At Risk
INV000746,7,80.66666666666667,At Risk
INV000747,5,114.25,At Risk
INV000748,2,155.0,At Risk
INV000749,7,52.333333333333336,At Risk
INV000750,3,184.5,At Risk
INV000751,2,97.0,At Risk
INV000752,4,157.33333333333334,At Risk
INV000753,4,88.66666666666667,At Risk
INV000754,4,44.666666666666664,At Risk
INV000755,4,94.0,At Risk
INV000757,3,126.5,At Risk
INV000758,5,105.25,At Risk
INV000759,4,76.0,At Risk
INV000760,2,36.0,At Risk
INV000761,4,164.66666666666666,At Risk
INV000762,2,403.0,At Risk
INV000764,3,60.5,At Risk
INV000765,8,57.142857142857146,At Risk
INV000766,1,,Normal
INV000767,3,104.0,At Risk
INV000768,4,63.0,At Risk
INV000769,2,460.0,At Risk
INV000770,2,10.0,Normal
INV000771,1,,Normal
INV000772,6,80.0,At Risk
INV000773,1,,Normal
INV000774,2,302.0,At Risk
INV000775,1,,Normal
INV000776,3,175.5,At Risk
INV000777,2,34.0,Normal
INV000778,3,115.5,At Risk
INV000779,6,88.8,At Risk
INV000781,1,,Normal
INV000782,1,,Normal
INV000783,6,93.0,At Risk
INV000784,6,71.2,At Risk
INV000785,5,97.25,At Risk
INV000786,1,,Normal
INV000788,3,35.5,At Risk
INV000789,2,231.0,At Risk
INV000791,5,98.0,At Risk
INV000793,3,82.0,At Risk
INV000795,3,102.5,At Risk
INV000796,1,,Normal
INV000797,1,,Normal
INV000799,2,52.0,At Risk
INV000800,1,,Normal
INV000801,1,,Normal
INV000802,4,59.333333333333336,At Risk
INV000803,2,150.0,At Risk
INV000804,3,216.5,At Risk
INV000805,1,,Normal
INV000806,8,53.57142857142857,At Risk
INV000807,2,3.0,Normal
INV000808,1,,Normal
INV000809,1,,Normal
INV000810,5,43.0,At Risk
INV000811,4,24.0,Normal
INV000812,1,,Normal
INV000813,4,138.33333333333334,At Risk
INV000814,1,,Normal
INV000815,2,48.0,At Risk
INV000816,2,29.0,Normal
INV000817,1,,Normal
INV000818,3,195.0,At Risk
INV000819,3,120.0,At Risk
INV000820,1,,Normal
INV000821,7,41.833333333333336,At Risk
INV000822,2,82.0,At Risk
INV000823,3,80.5,At Risk
INV000824,1,,Normal
INV000825,2,158.0,At Risk
INV000826,4,110.33333333333333,At Risk
INV000827,2,99.0,At Risk
INV000828,1,,Normal
INV000829,4,125.33333333333333,At Risk
INV000830,4,133.33333333333334,At Risk
INV000831,1,,Normal
INV000832,2,93.0,At Risk
INV000833,2,410.0,At Risk
INV000834,1,,Normal
INV000836,1,,Normal
INV000837,2,418.0,At Risk
INV000838,2,203.0,At Risk
INV000839,2,192.0,At Risk
INV000840,6,100.6,At Risk
INV000841,4,126.33333333333333,At Risk
INV000843,5,60.0,At Risk
INV000844,3,66.5,At Risk
INV000845,4,93.0,At Risk
INV000846,2,127.0,At Risk
INV000847,5,64.75,At Risk
INV000848,1,,Normal
INV000849,7,74.66666666666667,At Risk
INV000850,3,71.5,At Risk
INV000851,4,100.66666666666667,At Risk
INV000852,2,259.0,At Risk
INV000853,2,341.0,At Risk
INV000854,1,,Normal
INV000855,1,,Normal
INV000856,4,142.66666666666666,At Risk
INV000857,5,104.25,At Risk
INV000858,2,146.0,At Risk
INV000859,1,,Normal
INV000860,5,66.5,At Risk
INV000861,4,115.33333333333333,At Risk
INV000862,3,204.0,At Risk
INV000864,5,84.75,At Risk
INV000865,2,133.0,At Risk
INV000866,1,,Normal
INV000867,3,78.5,At Risk
INV000869,4,105.33333333333333,At Risk
INV000870,1,,Normal
INV000873,3,131.0,At Risk
INV000874,3,101.5,At Risk
INV000875,2,102.0,At Risk
INV000876,2,125.0,At Risk
INV000877,3,75.0,At Risk
INV000880,2,59.0,At Risk
INV000881,2,141.0,At Risk
INV000884,2,226.0,At Risk
INV000885,1,,Normal
INV000886,1,,Normal
INV000887,4,128.0,At Risk
INV000888,2,105.0,At Risk
INV000890,4,77.0,At Risk
INV000891,5,110.0,At Risk
INV000892,3,188.0,At Risk
INV000893,2,333.0,At Risk
INV000894,6,95.8,At Risk
INV000895,5,75.75,At Risk
INV000897,2,16.0,Normal
INV000898,1,,Normal
INV000899,2,82.0,At Risk
INV000900,3,62.0,At Risk
INV000901,1,,Normal
INV000902,5,90.0,At Risk
INV000903,1,,Normal
INV000904,2,106.0,At Risk
INV000906,8,52.57142857142857,At Risk
INV000907,3,98.0,At Risk
INV000908,1,,Normal
INV000909,2,9.0,Normal
INV000912,7,69.16666666666667,At Risk
INV000913,3,104.5,At Risk
INV000914,4,122.33333333333333,At Risk
INV000915,2,136.0,At Risk
INV000917,1,,Normal
INV000918,1,,Normal
INV000919,4,24.0,Normal
INV000920,3,73.0,At Risk
INV000921,4,127.0,At Risk
INV000922,1,,Normal
INV000925,5,80.5,At Risk
INV000926,2,283.0,At Risk
INV000927,2,59.0,At Risk
INV000928,1,,Normal
INV000929,3,84.5,At Risk
INV000930,4,65.66666666666667,At Risk
INV000931,3,34.5,Normal
INV000932,2,239.0,At Risk
INV000933,6,50.0,At Risk
INV000934,1,,Normal
INV000935,2,5.0,Normal
INV000937,2,133.0,At Risk
INV000939,3,128.5,At Risk
INV000940,3,142.0,At Risk
INV000941,4,95.33333333333333,At Risk
INV000942,5,79.25,At Risk
INV000943,3,89.0,At Risk
INV000944,3,38.5,At Risk
INV000946,3,147.0,At Risk
INV000947,4,53.666666666666664,At Risk
INV000948,1,,Normal
INV000949,4,63.0,At Risk
INV000950,5,94.5,At Risk
INV000952,1,,Normal
INV000953,1,,Normal
INV000954,5,102.5,At Risk
INV000955,2,7.0,Normal
INV000957,4,109.33333333333333,At Risk
INV000958,3,116.0,At Risk
INV000959,4,109.0,At Risk
INV000960,6,66.8,At Risk
INV000961,1,,Normal
INV000962,3,201.5,At Risk
INV000963,2,58.0,At Risk
INV000964,3,196.0,At Risk
INV000966,10,47.888888888888886,At Risk
INV000968,7,64.83333333333333,At Risk
INV000969,6,51.2,At Risk
INV000970,2,207.0,At Risk
INV000971,5,81.25,At Risk
INV000972,6,76.2,At Risk
INV000973,2,55.0,At Risk
INV000974,1,,Normal
INV000975,1,,Normal
INV000976,2,100.0,At Risk
INV000977,2,138.0,At Risk
INV000978,3,17.5,Normal
INV000979,2,407.0,At Risk
INV000980,2,311.0,At Risk
INV000981,5,64.75,At Risk
INV000984,5,87.5,At Risk
INV000985,3,125.0,At Risk
INV000986,2,35.0,Normal
INV000987,2,60.0,At Risk
INV000988,7,77.83333333333333,At Risk
INV000989,4,130.33333333333334,At Risk
INV000990,1,,Normal
INV000991,1,,Normal
INV000992,2,29.0,Normal
INV000994,6,88.4,At Risk
INV000995,5,33.75,Normal
INV000996,2,30.0,Normal
INV000997,4,128.66666666666666,At Risk
INV000999,3,159.5,At Risk
INV001000,2,16.0,Normal
INV001001,4,148.66666666666666,At Risk
INV001002,3,209.0,At Risk
INV001003,2,107.0,At Risk
INV001004,1,,Normal
INV001005,5,61.75,At Risk
INV001006,1,,Normal
INV001007,1,,Normal
INV001008,2,252.0,At Risk
INV001009,7,61.5,At Risk
INV001011,3,131.5,At Risk
INV001012,1,,Normal
INV001013,4,59.333333333333336,At Risk
INV001014,3,181.0,At Risk
INV001015,4,34.333333333333336,Normal
INV001016,1,,Normal
INV001017,1,,Normal
INV001018,3,49.5,At Risk
INV001019,2,68.0,At Risk
INV001020,5,76.5,At Risk
INV001021,3,126.0,At Risk
